('Net Interest Income', '-211,000', '-215,000', '89,000', '76,000', '-2,733,000')
         527744 function calls (508845 primitive calls) in 1.498 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  499/305    0.000    0.000    0.116    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      244    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      203    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      203    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      244    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    229/3    0.000    0.000    0.212    0.071 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2468    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      179    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      710    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      323    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      383    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        7    0.000    0.000    0.025    0.004 <frozen importlib._bootstrap>:433(spec_from_loader)
      179    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      179    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    179/3    0.001    0.000    0.212    0.071 <frozen importlib._bootstrap>:663(_load_unlocked)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
      244    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      814    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      814    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
  199/158    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
    202/3    0.001    0.000    0.212    0.071 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    203/3    0.001    0.000    0.213    0.071 <frozen importlib._bootstrap>:978(_find_and_load)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:994(_gcd_import)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
       21    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      543    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      196    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      196    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      451    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      302    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      451    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
  153/152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      453    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      151    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     2342    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     2342    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:711(is_package)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    151/3    0.000    0.000    0.212    0.071 <frozen importlib._bootstrap_external>:722(exec_module)
      846    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      151    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      244    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      151    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:921(get_resource_reader)
      227    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(resource_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:937(is_resource)
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
        7    0.000    0.000    0.026    0.004 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:101(TreeBuilder)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
        1    0.000    0.000    0.070    0.070 __init__.py:117(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:1216(getLogger)
     1890    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
        8    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:129(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1321(Logger)
        9    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
        1    0.000    0.000    0.105    0.105 __init__.py:15(<module>)
