CarNumber,Refund,Fines,Make,Model,Year
Y163O8161RUS,2,3200.0,Ford,Focus,1998
E432XX77RUS,1,6500.0,Toyota,Camry,1996
7184TT36RUS,1,2100.0,Ford,Focus,2014
X582HE161RUS,2,2000.0,Ford,Focus,1996
92918M178RUS,1,5700.0,Ford,Focus,1984
H234YH197RUS,2,6000.0,Ford,Focus,1999
E40577152RUS,1,8594.5864661654,Ford,Focus,2009
707987163RUS,2,2200.0,Ford,Focus,2000
K330T8197RUS,2,8200.0,Skoda,Octavia,2018
X786CO96RUS,1,8594.5864661654,Ford,Focus,2015
C477M7161RUS,1,2500.0,Ford,Focus,2019
O21997197RUS,1,2000.0,Ford,Focus,1993
M592CH197RUS,2,8594.5864661654,Skoda,Octavia,2010
9020YC197RUS,2,145000.0,Skoda,Octavia,2012
8182XX154RUS,1,200.0,Ford,Focus,1998
7830C8197RUS,2,8594.5864661654,Ford,Focus,2017
7066C8197RUS,2,15000.0,Volkswagen,Passat,1986
M298CH161RUS,2,8594.5864661654,Ford,Focus,1982
E445TC197RUS,1,8594.5864661654,Ford,Focus,1999
8440XX154RUS,1,6200.0,Ford,Focus,2011
9371CE154RUS,2,8594.5864661654,Skoda,Octavia,2014
9182CE154RUS,2,19800.0,Ford,Focus,2008
83298C154RUS,2,8594.5864661654,Ford,Focus,2008
Y7659C197RUS,2,8594.5864661654,Ford,Focus,1992
C922YE197RUS,2,3800.0,Volkswagen,Golf,1993
7364C8197RUS,2,8594.5864661654,Ford,Focus,1996
M5039X197RUS,2,7400.0,Volkswagen,,2015
8603T8154RUS,1,1500.0,Ford,Focus,1995
92928M178RUS,1,8594.5864661654,Ford,Focus,1995
O672E8197RUS,2,63300.0,Skoda,Octavia,1996
E42277152RUS,2,10600.0,Ford,Focus,2007
C903MC161RUS,1,1600.0,Volkswagen,Jetta,1992
T7318T163RUS,2,12000.0,Toyota,Camry,2013
Y7719C197RUS,1,9200.0,Ford,Focus,2019
T011MY163RUS,1,2000.0,Ford,Focus,1986
H115YO163RUS,1,2200.0,Ford,Focus,1993
73467Y96RUS,1,800.0,Ford,Focus,1982
O134HE197RUS,1,8594.5864661654,Ford,Focus,1988
H968HY161RUS,1,2400.0,Ford,Focus,2003
Y654E8750RUS,1,500.0,Skoda,Octavia,2002
H963HY161RUS,2,2800.0,Ford,Focus,2013
H232YH197RUS,2,8600.0,Ford,Focus,1989
7843C8197RUS,2,12300.0,Ford,Focus,1999
X791O796RUS,1,500.0,Ford,Focus,2012
H958HY161RUS,1,1800.0,Ford,Focus,1980
708587163RUS,2,1400.0,Ford,Focus,1984
Y973O8197RUS,2,8594.5864661654,Ford,Focus,1992
97977H178RUS,1,1000.0,Ford,Focus,1988
H917TC36RUS,2,4000.0,Ford,Focus,1994
X786CO96RUS,1,1000.0,Ford,Focus,2000
Y7709C197RUS,1,500.0,Ford,Focus,1999
8513XX154RUS,1,1500.0,Ford,Focus,2000
T870X7163RUS,2,2000.0,Skoda,Octavia,2012
8818C877RUS,1,2500.0,Volkswagen,Passat,1998
